frosina,chiara,samuele,andrea,marco,ilenia,Andrea_Unique,Samu,Chiara,Frosi,Marco,Ilenia
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,1.0,0.4363185494454867,0.3676769238229677,0.3369205764830084,0.34362973040696304,-0.039572148613754854
,,,,,,0.4363185494454867,1.0,0.41007251503894826,0.5038898512950121,0.34275735749897684,0.09645259822269844
,,,,,,0.3676769238229677,0.41007251503894826,1.0,0.5469613695968477,0.8246991547586278,0.034509745722456395
,,,,,,0.3369205764830084,0.5038898512950121,0.5469613695968477,1.0,0.6563374922567585,0.1852748161884457
,,,,,,0.34362973040696304,0.34275735749897684,0.8246991547586278,0.6563374922567585,1.0,0.03444984865491917
,,,,,,-0.039572148613754854,0.09645259822269844,0.034509745722456395,0.1852748161884457,0.03444984865491917,1.0
